# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
neckline edge,-71.8058,-151.683,40.213,237.052
neckline edge,-71.7199,-151.565,40.380,237.026
neckline edge,-71.6341,-151.446,40.546,237.000
neckline edge,-71.5483,-151.328,40.712,236.973
neckline edge,-71.4624,-151.209,40.878,236.947
neckline edge,-71.3766,-151.089,41.043,236.920
neckline edge,-71.2907,-150.969,41.208,236.894
neckline edge,-71.2049,-150.849,41.373,236.868
neckline edge,-71.1190,-150.728,41.538,236.841
neckline edge,-71.0332,-150.607,41.702,236.815
neckline edge,-70.9474,-150.485,41.867,236.788
neckline edge,-70.8615,-150.363,42.031,236.762
neckline edge,-70.7757,-150.241,42.194,236.735
neckline edge,-70.6898,-150.118,42.357,236.708
neckline edge,-70.6040,-149.995,42.520,236.682
neckline edge,-70.5182,-149.872,42.684,236.655
neckline edge,-70.4323,-149.748,42.846,236.629
neckline edge,-70.3465,-149.624,43.008,236.602
neckline edge,-70.2606,-149.499,43.170,236.575
neckline edge,-70.1748,-149.374,43.332,236.549
neckline edge,-70.0890,-149.248,43.493,236.522
neckline edge,-70.0031,-149.123,43.655,236.495
neckline edge,-69.9173,-148.996,43.815,236.468
neckline edge,-69.8314,-148.870,43.976,236.442
neckline edge,-69.7456,-148.743,44.137,236.415
neckline edge,-69.6598,-148.615,44.297,236.388
neckline edge,-69.5739,-148.488,44.456,236.361
neckline edge,-69.4881,-148.360,44.616,236.335
neckline edge,-69.4022,-148.231,44.776,236.308
neckline edge,-69.3164,-148.102,44.935,236.281
neckline edge,-69.2306,-147.973,45.094,236.254
neckline edge,-69.1447,-147.843,45.252,236.227
neckline edge,-69.0589,-147.713,45.411,236.200
neckline edge,-68.9730,-147.583,45.569,236.173
neckline edge,-68.8872,-147.452,45.727,236.146
neckline edge,-68.8013,-147.321,45.884,236.119
neckline edge,-68.7155,-147.190,46.041,236.092
neckline edge,-68.6297,-147.058,46.199,236.065
neckline edge,-68.5438,-146.926,46.355,236.038
neckline edge,-68.4580,-146.793,46.511,236.011
neckline edge,-68.3721,-146.661,46.668,235.984
neckline edge,-68.2863,-146.527,46.824,235.957
neckline edge,-68.2005,-146.394,46.979,235.930
neckline edge,-68.1146,-146.260,47.135,235.903
neckline edge,-68.0288,-146.126,47.290,235.876
neckline edge,-67.9429,-145.991,47.445,235.849
neckline edge,-67.8571,-145.856,47.599,235.822
neckline edge,-67.7713,-145.721,47.754,235.795
neckline edge,-67.6854,-145.585,47.908,235.768
neckline edge,-67.5996,-145.449,48.062,235.741
neckline edge,-67.5137,-145.312,48.215,235.713
neckline edge,-67.4279,-145.176,48.369,235.686
neckline edge,-67.3421,-145.039,48.522,235.659
neckline edge,-67.2562,-144.901,48.674,235.632
neckline edge,-67.1704,-144.763,48.827,235.604
